Type,Name,Website,Sector ,Location,Funding
,St Johns Innovation Centre,https://stjohns.co.uk/,Fintech,St John's Innovation Centre Cowley Road Cambridge CB4 0WS,info@stjohns.co.uk
,Strathclyde University Incubator,http://www.suilimited.com/,,"Strathclyde University Incubator Ltd. 50 Richmond  Glasgow G1 1XP

",gill@suilimited.com
,Magdalen Centre,https://oxfordsp.com/,science and tech,"Robert Robinson Avenue The Oxford Science Park Oxford OX4 4GA



",info@oxfordsp.com
,Norwich Research Park Accelerator,https://www.norwichresearchpark.com/property-and-park/accommodation-types/accelerator,science,"Norwich Research Park, Norwich, NR4 7UG",contact on web page
,Edinburgh Research and Innovation,https://edinburgh-innovations.ed.ac.uk/,Fintech,"1st Floor Murchison House, King's Buildings 10 Max Born Crescent, Edinburgh EH9 3BF",edinburgh.innovations@ed.ac.uk
,Granta Park,https://www.babraham.ac.uk/,Bio Tech,"BABRAHAM INSTITUTE CAMBRIDGE, CB22 3AT",contact on web page
,Cherwell Innovation Centre,https://www.heyfordpark-ic.co.uk/,,"Heyford Park Innovation Centre, 77 Heyford Park, Bicester OX25 5HD",info@heyfordpark-ic.co.uk
,Malvern Hills Science Park,https://www.mhsp.co.uk/,science,"MHSP, Geraldine Road, Malvern, Worcestershire, WR14 3SZ",contact on web page
,Roslin BioCentre,https://midlothiansciencezone.com/,science and tech,"Roslin Innovation Centre, The University of Edinburgh, Easter Bush Campus, Midlothian, EH25 9RG, Scotland",enquiries@midlothiansciencezone.com
,Harwell Innovation Centre,https://www.harwell-ic.co.uk/,science and tech,"Harwell Innovation Centre,Building 173, Curie Avenue,Harwell, Didcot Oxfordshire, OX11 0QG",info@harwell-ic.co.uk
,i-SE – Women’s Enterprise Hub,http://www.i-se.co.uk/,Women based innovation center," iSE, Avoca Court, 23 Moseley Road, Digbeth, Birmingham, B12 0HJ", info@i-se.co.uk
,Scottish Microelectronics Centre,https://www.eng.ed.ac.uk/research/facilities-and-resources/resources/scottish-microelectronics-centre,Engineering SMEs,Alrick Building Max Born Crescent The King's Buildings Edinburgh EH9 3BF,contact on web page
,Bicester Innovation Centre,https://www.bicester-ic.co.uk/,Fintech,"Bicester Innovation Centre, Commerce House, Telford Road, Bicester, OX26 4LD ",info@bicester-ic.co.uk
,Culham Science Centre,http://www.culham.org.uk/,science and tech,"Culham Science Centre, Abingdon, Oxfordshire, OX14 3DB",Commercial.Property@ukaea.uk
,Staffordshire BIC,https://thebic.co.uk/,fintech,"Studio 10 Sutherland Institute, Longton, ST3 4HY", info@thebic.co.uk
,Sparkhouse,https://www.sparkhouselincoln.co.uk/,fintech,Enterprise Building Rope Walk Lincoln LN6 7DG       ,sparkhouse@lincoln.ac.uk
,Sussex Innovation Centre,https://www.sinc.co.uk,startup business all type,Croydon East london,info@sinc.co.uk
,SPARK Business Incubation Centre,https://www.sparkspace.co.uk/,startup business all type,"Creative Industries Centre Wolverhampton Science Park Glaisher Drive Wolverhampton WV10 9TG



",enquiries@sparkspace.co.uk
,BRL Technology Business Incubator,https://www.bristolroboticslab.com/,science and tech,"             Bristol Robotics Laboratory,
T-Block, UWE Bristol, Bristol BS16 1QY", info@brl.ac.uk
,Cranfield University Business Incubation Centre (CUBIC),https://www.cranfield.ac.uk/business/access-our-world-class-facilities/business-incubation,Digital,College Road Cranfield Bedfordshire MK43 0AL,contact on web page
,Culham Innovation Centre,https://www.culham-ic.co.uk/,science and tech,"Culham Innovation Centre,D5 Culham Science Centre,Abingdon, Oxfordshire OX14 3DB


",info@culham-ic.co.uk
,Hub for Innovation and Enterprise,https://www.kent.ac.uk/enterprise/student-talent,Bio Tech,"University of Kent Canterbury Kent CT2 7NZ

",contact on web page
,Sci-Tech Daresbury,https://www.sci-techdaresbury.com/,Sci Tech,"Sci-Tech Daresbury, Keckwick Lane, Daresbury WA4 4FS",info@sci-techdaresbury.com
,Sheffield Bioincubator,http://www.innovation.group.shef.ac.uk/,startup business all type,"North Campus Broad Lane S3 7HQ

",contact on web page
,Bridge Innovation Centre,https://www.bridgeinnovation.co.uk/,science and tech,"Pembrokeshire Science and Technology Park Pembroke Dock Pembrokeshire SA72 6UN


",pstp@pembrokeshire.gov.uk
,Dundee University Incubator,https://www.dundeeincubator.com/,fintech," Dundee University Incubator James Lindsay Place Dundee Technopole Dundee DD1 5JJ



",j.s.adams@dundee.ac.uk
,Hayes Business Studios,http://www.hayesbusinessstudios.co.uk/,Edtech,"College Way Coldharbour Lane Hayes, Middlesex UB3 3BB



",contact on web page
,Creative Enterprise,https://www.uca.ac.uk/creative-enterprise-development/,Edtech,"UCA Canterbury New Dover Road Canterbury Kent CT1 3AN




",contact on web page
,Nucleus Business & Innovation Centre,https://www.nucleus-dartford.co.uk/,fintech,"The Nucleus, Brunel Way, Dartford, Kent, DA1 5GA",info@nucleus-dartford.co.uk
,Cornwall Innovation,http://cornwallinnovation.co.uk/health-wellbeing-centre,Health & Wellbeing,"University of Plymouth Enterprise Ltd,Health & Wellbeing Innovation Centre, Treliske, Truro, Cornwall TR1 3FF

",enquiries@cornwallinnovation.co.uk
,Enterprise Incubation Centre,https://www.herts.ac.uk/enterprise-zone/grow-your-business/business-support/business-incubation,startup business all type," De Havilland Campus, Mosquito Way, Hatfield AL10 9EU",ask@herts.ac.uk
,Ocean Village Innovation Centre,https://www.oceanvillage-ic.co.uk/,startup business all type,"Ocean Way,Southampton,Hampshire,S014 3JZ



",Info@oceanvillage-ic.co.uk
,Retford Enterprise Centre,https://www.retfordenterprise.co.uk/,startup business all type,"Bassetlaw Suite 3 Retford Enterprise Centre, Randall Way, Retford, DN22 7GRDN22 7GR for SAT Nav",info@retfordenterprise.co.uk
,Good Ideas Academy,https://www.themeltingpotedinburgh.org.uk/good-ideas/,startup business all type,"5 Rose Street Edinburgh EH2 2PR

",contact on web page
,Harborough Innovation Centre,https://www.harborough-ic.co.uk/,startup business all type,"Harborough Innovation Centre | Wellington Way | Airfield Business Park,Leicester Road, Market Harborough | Leicestershire | LE16 7WB",hic@harborough.gov.uk
,Hethel Innovation,https://hethelinnovation.com/,Health and well being,Hethel Engineering Centre NR14 8FB,info@hethelinnovation.com; ‎
,Innovation Martlesham Incubator Facility,https://atadastral.co.uk/,Health and well being,"Martlesham Heath Ipswich Suffolk IP5 3RE


",atadastral@bt.com
,Mansfield i-Centre,https://www.mansfield-ic.co.uk/,digital tech and engineering,"Oakham Business Park, Hamilton Way, Mansfield, NG18 5BR ",info@mansfield-ic.co.uk 
,Newark Beacon,http://www.newark-beacon.co.uk/,startup business all type,"Beacon Hill Office Park Cafferata Way Newark Nottinghamshire NG24 2TN



",hello@newark-beacon.co.uk
,Queen Mary BioEnterprises Innovation Centre,https://www.qmbioenterprises.com/,Bio Tech,"The QMB Innovation Centre 42 New Road,London E1 2AX


",r.richmond@qmul.ac.uk
,Scott Bader Innovation Centre,https://www.scottbader-ic.co.uk/,science and tech,"High Street,Wollaston,Wellingborough,Northamptonshire NN29 7RL",info@scottbader-ic.co.uk 
,The Studio,https://www.lboro.ac.uk/services/the-studio/,startup business all type,"Epinal Way, Loughborough Leicestershire,LE11 3TU


",the.studio@lboro.ac.uk
,Worksop Turbine Innovation Centre,https://worksopturbine.nottinghamshire.gov.uk/,startup business all type,"Shireoaks Triangle Business Park Coach Close Worksop Nottinghamshire S81 8AP



",reception.worksop@nottscc.gov.uk
,Bracknell Enterprise & Innovation Hub,https://www.bracknell-hub.co.uk/,startup business all type,"Bracknell Enterprise & Innovation Hub, Ocean House, The Ring, Bracknell, RG12 1AX


",info@bracknell-hub.co.uk <info@bracknell-hub.co.uk>;
,Innovation Programme,https://www.ne-bic.co.uk/,startup business all type,"North East Business and Innovation Centre (BIC) Wearfield, Enterprise Park East,Sunderland, Tyne and Wear, SR5 2TA.",info@ne-bic.co.uk
,Stevenage BioCatalyst,https://www.stevenagecatalyst.com/,Medical sciences,Stevenage Bioscience Catalyst Gunnels Wood Road Stevenage Herts SG1 2FX,comms@stevenagecatalyst.com
,The Nova Centre,https://www.keele.ac.uk/business/scienceandinnovationpark/,clinical education,"Keele University, Staffordshire, UK,ST5 5BG",enquiries@keele.ac.uk
,Tremough Innovation Centre,https://cornwallinnovation.co.uk/centre/tremough-innovation-centre/,health science,"Cornwall Innovation,University of Plymouth Enterprise Ltd,Health & Wellbeing Innovation Centre, Treliske, Truro, Cornwall TR1 3FF


", enquiries@cornwallinnovation.co.uk
,Witney Business & Innovation Centre,https://www.witney-bic.co.uk/,all business type,"Windrush House, Windrush Industrial Park, Burford Road, Witney, Oxfordshire, OX29 7DX",info@witney-bic.co.uk
,BizzInn Business Incubator,https://www.birmingham.ac.uk/partners/enterprise/businesssupport.aspx/,startup business all type,"Edgbaston Birmingham B15 2TT
",contact on web page
,BU Student Incubation Centre (BUSI),https://www.hugedomains.com/domain_profile.cfm?d=bucfe&e=com,all business type,"Bournemouth University, Fern Barrow, Poole, Dorset, BH12 5BB, United Kingdom",enquiries@bournemouth.ac.uk
,Haatch,https://haatch.com/,startup business all type,"The Hub, Blackfriars Street, Stamford, Lincolnshire, PE9 2BW.",contact on web page
,Henley Start-up Business Incubator,https://www.escapethecity.org/organisation/henley-start-up-business-incubator,startup business all type,"Platf9rm,Hove Town Hall,Hove,BN3 2AF

",contact on web page
,Live Lab,https://www.livelab.co.uk/,agriculture,"Manton Rd, Brooke,LE15 8DF
",info@livelab.co.uk
,Stockport Business & Innovation Centre,https://www.stockport-bic.co.uk/,SME,"Stockport Business & Innovation Centre,Broadstone Mill,Stockport, SK5 7DL

",info@stockport-bic.co.uk
,The Enterprise Network,https://www.theenterprisenetwork.co.uk/,,"The Enterprise Network, Castledown Business Park, Ludgershall, Wiltshire. SP11 9FA ",info@theenterprisenetwork.co.uk
,Warwick Ventures Software Incubator,https://warwick.ac.uk/services/innovations/softwareincubator,fintech,"Warwick Innovations Junction Building The University of Warwick Coventry CV4 7AL


", ventures@warwick.ac.uk
,Centre for Digital Innovation (C4DI),http://www.c4di.co.uk/,startup business all type,"31-38 QUEEN STREET, HULL, HU1 1UU",info@c4di.net
,Innospace,http://www.innospace.co.uk/,startup business all type,"Turing House, 5 Archway, Manchester M15 5RL",contact on web page
,MedBIC,https://aru.ac.uk/arise,,"Alan Cherry Dr, Chelmsford CM1 1SQ",ariseinnovation@aru.ac.uk
,Momentum Business Incubator,http://www.worcesterenterprise.org/incubator-support-package/,"business,sport & creative","Worcester Business School University of Worcester, City Campus, Castle St, Worcester WR1 3AS",enterprise@worc.ac.uk
,NoWFOOD Centre,https://www1.chester.ac.uk/business-growth/nowfood,F& B,"University of Chester Parkgate Road Chester CH1 4BJ


",enquiries@chester.ac.uk
,One St. Aldates,https://www.onestaldates.co.uk/,Fintech,"One St Aldates,St Aldates,Oxford,OX1 1DE




",info@onestaldates.co.uk <info@onestaldates.co.uk>;
,SPACE at Hoo Farm,http://www.wyreforestspace.co.uk/space-at-hoo-farm.aspx,,"Wyre Forest District Council Wyre Forest House Finepoint Way Kidderminster Worcestershire DY11 7WF



",property@wyreforestdc.gov.uk
,UHatch,https://www.gcu.ac.uk/uhatch/,research studies,"Glasgow Caledonian University Cowcaddens Road Glasgow G4 0BA

",alumni@gcu.ac.uk
,Digital Exchange,NA,NA,"34 Peckover St, Bradford BD1 5BD",
,Fareham Innovation Centre,https://www.fareham-ic.co.uk/,Marine Science & Engineering,"Fareham Innovation Centre, Merlin House,4 Meteor Way,Lee-On-The-Solent,
PO13 9FU



",info@fareham-ic.co.uk
,High Growth Centre,https://www1.chester.ac.uk/business-growth/thornton-science-park,Bio Science,"University of Chester Parkgate Road Chester CH1 4BJ


",enquiries@chester.ac.uk
,Ideas Factory Incubation Centre,https://www.nua.ac.uk/for-business/incubation-centre-facility-hire/,digital creative start-up,"The Ideas Factory Norwich University of the Arts Cavendish House 28-32 St Andrews Street Norwich NR2 4AE



",j.goldsmith@nua.ac.uk
,InTechnology Enterprise incubator,https://www.leeds.ac.uk/news/article/3668/young_entrepreneurs_get_a_chance_to_shine,IN Technology,"University of Leeds, Leeds, LS2 9JT, UK",contact on web page
,Marine Robotics Innovation Centre Hub,https://noc-innovations.co.uk/marine-robotics-innovation-centre,Marine Robotics,"European Way, Southampton  SO14 3ZH",innovationcentre@​noc‑innovations.co.uk
,Rothamsted Centre for Research and Enterprise,https://www.rothamstedenterprises.com/,,"Harpenden, Hertfordshire, AL5 2JQ",info@rothamstedenterprises.com
,The BioHub Birmingham,https://www.birminghamresearchpark.co.uk/biohub/,biomedical,"University of Birmingham Enterprise Vincent Drive,Birmingham B15 2SQ


",brpl@bham.ac.uk 
,The Ingenuity Lab,https://www.nottingham.ac.uk/business/businesscentres/hgi/ingenuity-lab/about-the-ingenuity-lab.aspx,business start ups,"Nottingham University Business School Jubilee Campus Nottingham NG8 1BB

",business-enquiries@nottingham.ac.uk
,UBC Leeds Digital Hub,https://leeds.tech/workspace/the-digital-hub/,digital business,No.1 Leeds 26 Whitehall Road Leeds,UBCLeeds@leedsbeckett.ac.uk
,WB100,http://wosskowbrownfoundation.org.uk/,business start ups,"Chippingham Pl, Sheffield S9 3SH",contact on web page
,BioData Innovation Centre,https://www.sanger.ac.uk/about/campus,science and medicine,"Wellcome Genome Campus,Hinxton, Cambridgeshire, CB10 1SA
",contact on web page
,Canopy Exeter,https://www.exetersciencepark.co.uk/,science and medicine,"Science Park Centre, Babbage Way, Exeter Science Park, Clyst Honiton, Exeter, EX5 2FN",https://www.exetersciencepark.co.uk/
,Future Space,https://www.futurespacebristol.co.uk/,fintech,"North Gate (UWE) Filton Road, Stoke Gifford Bristol, BS34 8RB 


",info@futurespacebristol.co.uk
,Londoneast,https://www.londoneast-uk.com/,science park,"Yew Tree Avenue, Dagenham, RM10 7FN For Sat Nav: RM10 7XS

", info@londoneast-uk.com
,North East Space Incubation Programme,https://www.northeasttechnologypark.com/,innovation tech,"NETPark, North East Technology Park,Sedgefield, County Durham TS21 3FD

",enquiries@northeasttechnologypark.com
,OpTIC Space Industry Incubation Programme,http://www.glyndwrinnovations.co.uk/incubation/,spcae industry,"The OpTIC Technology Centre Ffordd William Morgan St Asaph Business Park St Asaph LL17 0JD




", opticreception@glyndwr.ac.uk
,Roslin Innovation Centre,https://www.roslininnovationcentre.com/,live stock and vet,"The University of Edinburgh Easter Bush Campus Midlothian EH25 9RG


",john.mackenzie@roslin.ed.ac.uk
,Serendip,https://serendip.co/,NA,NA,hello@serendip.co
,Space Incubator,https://www.lusep.co.uk/,science park,"Loughborough University Science and Enterprise Park, Loughborough, Leicestershire, LE11 3QF",contact on web page
,The Tontine,https://www.tontineglasgow.co.uk/,fintech,"Tontine Building, 20 Trongate, Glasgow, G1 5ES",contact on web page
,Ashton Old Baths Innovation Centre,https://www.ashtonoldbaths.co.uk/,digital market,"Stamford Street, West Ashton-under-Lyne, OL6 7FW Directions",info@ashtonoldbaths.co.uk
,Aurora Cambridge,https://www.bas.ac.uk/science/science-and-innovation/aurora-cambridge/,envoirmental tech,"British Antarctic Survey High Cross Madingley Road CAMBRIDGE CB3 0ET




",information@bas.ac.uk
,Charnwood Campus,http://charnwoodcampus.com/,science park,"Main Entrance Bakewell Road Loughborough LE11 5RB


",contact on web page
,The Spot Hive,https://www.sportingchanceinitiative.co.uk/the-sport-hive,SPORTS BUSINESS,NA,contact on web page
,STEAMHouse,https://www.bcu.ac.uk/business/steam/steamhouse,Steam ,"15 Bartholomew Row Birmingham B5 5JU

",contact on web page
,UBC Creative Fashion and Textile Hub,https://www.leedsbeckett.ac.uk/,Edtech,"Leeds Beckett University City Campus Leeds LS1 3HE



",contact on web page
,UNIT DX,https://sciencecreates.co.uk/,science and engineering,"Unit DX,St Philips Central,Albert Road,Bristol BS2 0XJ",contact on web page
,Guildhall Creative Entrepreneurs,https://www.gsmd.ac.uk/youth_adult_learning/creative_business_support/guildhall_creative_entrepreneurs/,creative and arts,"Silk Street, Barbican, EC2Y 8DT",contact on web page
,C11 Cyber Security and Digital Centre,https://www.glos.ac.uk/business-and-partnerships/c11-cyber-security-and-digital-innovation-centre/,digital security,"University of Gloucestershire,The Park,Cheltenham,GL50 2RH.


",contact on web page
,Barclays Labs,https://labs.uk.barclays/,startup business all type,"Union, Albert Square, Manchester M2 6LW",contact on web page
